1022	тотарина	7	0.0
1023	одихмантьев	7	0.0
1024	мужичище	7	0.0
1025	приставать	6	0.0
1026	сходня	6	0.0
1027	бережок	6	0.0
1028	матёрый	6	0.0
1029	ерусалить	6	0.0
1030	дитя	6	0.0
1031	носить	6	0.0
1032	булат	6	0.0
1033	поберечь	6	0.0
1034	парусый	6	0.0
1035	полотняный	6	0.0
1036	иерусалим	6	0.0
1037	веровать	6	0.0
1038	человеческий	6	0.0
1039	вдоль	6	0.0
1040	благодарить	6	0.0
1041	почто	6	0.0
1042	купаться	6	0.0
1043	захотеться	6	0.0
1044	хроменький	6	0.0
1045	могучиий	6	0.0
1046	угол	6	0.0
1047	богородица	6	0.0
1048	отрубить	6	0.0
1049	подорожный	6	0.0
1050	девяносто	6	0.0
1051	помнить	6	0.0
1052	крестничек	6	0.0
1053	здынуть	6	0.0
1054	чад	6	0.0
1055	народ	6	0.0
1056	вод	6	0.0
1057	рыба	6	0.0
1058	небесный	6	0.0
1059	звезда	6	0.0
1060	повыкупить	6	0.0
1061	будить	6	0.0
1062	заморский	6	0.0
1063	подписывать	6	0.0
1064	ажный	6	0.0
1065	воля	6	0.0
1066	струночка	6	0.0
1067	случилось	6	0.0
1068	жениться	6	0.0
1069	пропустить	6	0.0
1070	поглядеть	6	0.0
1071	ночь	6	0.0
1072	поминать	6	0.0
1073	дородный	6	0.0
1074	гусь	6	0.0
1075	доехать	6	0.0
1076	вперёд	6	0.0
1077	немой	6	0.0
1078	далечить	6	0.0
1079	турецкий	6	0.0
1080	немецкий	6	0.0
1081	гореть	6	0.0
1082	тын	6	0.0
1083	да́лечий	6	0.0
1084	перескакивать	6	0.0
1085	любовь	6	0.0
1086	ёго	6	0.0
1087	белы́	6	0.0
1088	вотчина	6	0.0
1089	ткнуть	6	0.0
1090	воевода	6	0.0
1091	полё	6	0.0
1092	охвотать	6	0.0
1093	живьём	6	0.0
1094	схватать	6	0.0
1095	сметать	6	0.0
1096	снести	6	0.0
1097	обсыпать	6	0.0
1098	заму́ж	6	0.0
1099	паробкий	6	0.0
1100	метать	6	0.0
1101	поспеть	6	0.0
1102	второе	6	0.0
1103	творить	6	0.0
1104	свадьба	6	0.0
